Store_ID,Store_Size_sq_ft,Avg_Monthly_Customers,Num_Employees,Local_Unemployment_Rate,Median_Household_Income,Avg_Local_Disposable_Income,Competition_Count,Parking_Space,Public_Transport_Accessibility,Store_Age,Previous_Year_Revenue,Local_Population_1000s,Tourist_Footfall_1000s,Product_Variety
8270,5994,767,42,2.793901319357448,85324,5497,2,43,0.7745041063553267,17,931188.4812426034,472.24840035943333,184.05718892728356,779
1860,6830,644,40,2.725767061982647,96920,12641,4,88,0.9376992661940918,10,996297.6481837442,88.60598971791643,176.0125396396308,981
6390,7010,562,11,4.101563816015482,83555,9643,4,180,0.1416025756129884,17,639857.0990288028,197.3643740215804,96.67013267777665,673
6191,4046,2370,34,8.998128500431948,95453,10056,0,78,0.37572725706243604,16,129876.68355900559,249.82913182741336,71.85275494511951,417
6734,2062,1411,23,3.0312206805879915,52689,5131,7,133,0.2821421287217101,6,173432.46734823426,254.83342011547248,65.10359632625304,606
7265,5062,941,29,7.75997442101957,94356,10443,4,180,0.860870123554672,7,533430.14959709,398.6643743790142,53.512724616301476,621
1466,3989,2241,20,2.8093249569048258,38252,22241,4,179,0.48835462028120036,14,465554.81162033736,249.52804962504837,108.90957074249545,845
5426,6880,879,44,6.985102829982603,60844,18443,8,120,0.026847934415666352,11,645559.5752035909,62.22258565414401,160.9957209469087,186
6578,2272,2667,12,4.8485383929531585,53365,13712,7,188,0.7079644068383966,12,494963.0287402276,369.5468425667741,62.15132164071156,878
9322,3537,1842,22,8.311311703726936,36026,13221,0,31,0.3886980978266026,14,940669.1643443359,448.17336281555225,38.0188179376163,815
2685,4923,1772,32,3.869523590602909,58523,20660,2,138,0.5311467633710123,5,581265.74387216,281.2571206473528,95.09676123665736,417
1769,4067,1558,20,7.113614635119679,40482,11147,6,158,0.893787427009998,5,724353.455316198,311.4988347643274,13.806883359533305,432
7949,6939,2339,23,3.8854602766070796,78888,16588,0,116,0.25673777463281167,15,906836.7453782469,123.32139753607073,140.25580122594135,459
3433,3073,262,46,7.70928226489723,80110,9604,0,166,0.24026467561217713,1,232184.68824988665,149.29067510553068,103.67165326038672,340
6311,5194,2759,21,8.989424276485991,30493,14452,4,76,0.2631925041800893,9,306761.18870667566,155.8266076060753,99.27496159457083,155
6051,6587,1362,49,3.0144143930140803,86194,22942,8,61,0.3381079912597027,3,196586.79442661355,243.83388869658287,60.089075910004496,209
7420,4791,1428,17,8.932765508764028,112001,21399,5,117,0.10735397464609964,4,225674.55930692106,467.66534940303893,180.93468750634733,148
2184,2746,455,11,6.748602035314383,69767,8605,9,50,0.6972196608085894,16,561325.5702408098,284.8031450216987,18.09725836991054,854
5555,5219,334,31,3.016883926936192,59550,18284,1,199,0.20739871782913655,7,389061.33307071764,136.4439403406087,173.96480177740628,115
4385,5339,1074,14,5.420334842877696,43833,6607,8,21,0.9261457472705857,14,480855.5555740794,169.73948114102734,75.34104048318453,172
7396,1859,1021,38,3.286882347880783,32970,27319,5,185,0.2156863139098707,16,984240.8486146557,222.80676337723293,176.12470319500446,983
9666,6516,2335,40,7.602783110932556,112681,16709,4,51,0.2556420293087751,18,241033.9130163533,330.46653906175976,145.7522916664767,301
3558,3876,1022,29,8.070945075343598,79177,7016,4,157,0.29702022881081636,16,586730.863718268,248.0149188518024,20.83414533240766,192
8849,4509,1173,10,2.8463721621823916,97342,8574,2,124,0.768538097011416,16,188984.03954828586,226.6001798796162,166.30725730187072,748
3047,4493,1977,28,6.049118821557155,101200,18541,5,155,0.4276064874420298,2,386646.68193749076,304.12787017954764,136.435366739901,132
3747,2462,320,22,8.517000448207337,91501,12274,3,94,0.8193346240306186,10,574773.3313071388,158.82574772950946,6.46038258306969,699
1189,5132,1837,27,9.489304332407972,58900,14935,9,124,0.7848537123557885,7,951968.571368804,85.50647266306198,26.740536421933992,518
3734,3327,1564,10,6.10814293393416,44126,20748,1,167,0.9294904227674665,15,452105.3991551347,60.98644166999995,127.12561116713903,302
4005,3113,1207,33,9.602233788891256,100690,25175,2,167,0.7566041551040548,9,158416.02659320284,163.06662356020718,132.520100576057,650
5658,3140,1124,29,6.2855117636482385,117744,11406,8,146,0.05191116966906284,7,449345.30316428526,91.21641536501092,149.330286567519,725
2899,3716,844,21,5.153523956799264,109303,16826,8,28,0.8372812736990584,16,231167.05828657997,201.35328733434505,144.04908015499637,944
8734,5812,2232,28,8.785625028423164,115579,22472,5,34,0.9380725967054112,3,306990.65196230076,397.82009316189004,131.903990933991,858
2267,1877,2961,15,5.9438616836647125,77994,6361,9,116,0.993689192549669,17,656281.5608484914,372.33244871907726,153.2477803492845,954
2528,5714,2268,30,5.775220084516184,97061,9473,9,124,0.12526759413246513,8,160681.4795833135,324.91743025461295,115.01714117847457,981
4556,5785,441,38,5.922499915278626,46978,26678,8,82,0.6132732693265346,2,518251.38062503363,433.6251097457654,52.158277104890985,819
4890,1869,2702,32,8.774280014957963,86344,28490,3,40,0.1994586658841594,3,648515.4274096879,176.93043104492452,182.47532274614363,411
9838,7397,2868,7,8.655532333504418,76648,12319,4,24,0.262509640912599,8,479672.5531307472,448.27418886348454,3.6428061863955863,568
6393,3696,2550,15,5.22815993952169,31055,13667,9,144,0.745584338222858,2,117213.71556135733,229.65762635113063,73.31234397429805,493
9792,5247,1819,42,4.6663988789642,105582,14481,5,182,0.9776677176990604,19,986967.4212125789,230.40199321998196,145.77405861943268,908
9433,2151,1002,18,5.935424192313034,111214,13520,8,104,0.5948555014630229,17,430404.19060648174,232.4082261314847,85.43120822993487,971
8513,7478,1163,30,6.582180077896872,74876,22570,4,132,0.8505844698222473,5,800719.4682399402,94.14246480844164,4.966881496002862,310
3612,7107,268,25,3.9066976850239756,68725,24798,7,195,0.008883803828827919,17,393081.8429687079,488.9707242489751,13.196180623242636,966
8041,2269,1352,43,8.351640677724724,35255,26870,0,99,0.03663163984961926,10,527515.081294077,112.32805002132164,129.72747382765772,670
7235,3921,395,34,5.891862125859383,104947,8536,4,135,0.5967243373258634,9,449617.2783498969,203.39857601113303,192.97291988105994,255
6486,2280,2387,12,4.672364387359677,83380,6773,9,182,0.38898310160043914,6,408285.3065586469,193.68514414704072,110.3727271668998,733
8099,3216,2530,24,2.854567943711925,83333,15255,0,116,0.8897578149731539,11,119666.23948700087,83.60574476751933,101.3515636047538,731
1775,5483,2559,36,3.9107612832288554,72459,26799,9,40,0.30198191308573374,2,424018.8440690532,118.5170585503445,63.665042611253455,908
9226,2811,945,26,9.59424937404787,66163,7558,5,99,0.43205102750404745,12,900540.991359577,70.18625128342362,51.33813477321263,421
4152,4859,1888,11,4.440797494556213,63971,27291,6,58,0.5279091978315682,12,721354.0047343153,181.58202210223106,4.196996351256943,534
2585,6845,476,13,3.3508743149362825,95149,10079,4,181,0.27303883288624753,16,230880.57318589586,439.99561581300793,54.59097352809423,673
4943,2022,260,49,5.685382333239946,114730,28108,0,140,0.9084948674532943,12,632039.5041604652,202.74899258182302,89.82208817305049,769
8555,2021,2113,5,4.4567019468819895,49476,26804,5,143,0.46453358465809713,18,903007.7739539844,105.66132443032065,39.589956609790036,139
4073,6378,2299,33,2.2812740021695532,98580,19341,9,162,0.42415560911901695,13,730030.6368683699,340.56224077276306,17.469597696285845,853
2021,3820,2400,12,4.585161738235338,116593,24675,4,25,0.8497530489343326,15,233815.95312102707,498.4704104247097,143.54557345092053,139
4843,2435,1972,8,6.352868991515749,99050,14981,5,75,0.3119784016478985,16,881049.247061047,154.5457052893674,178.92405381361343,552
8989,3730,1534,39,6.413698976159735,105526,8524,9,68,0.817465344510961,4,371389.6119599788,175.80695241675625,187.35441393741712,969
7873,5540,2037,7,4.85247136941511,37507,24888,6,111,0.12227285272134947,12,508668.5298811076,487.33117442635483,123.59974569939787,289
6675,7284,2791,49,5.578422050020805,100393,13998,6,148,0.18278853336489964,17,573528.4837202318,130.44932939771923,10.554916519856361,845
1161,6083,766,44,9.724143345878131,42118,27373,1,84,0.9508416661717347,1,865455.9439403757,280.04633035662374,148.17252599235468,114
5297,7446,1771,11,5.018787817842493,80529,18697,2,47,0.842447490807708,18,938446.7456328949,157.8434598572427,22.019061052377275,223
1995,6441,821,31,4.065814506079864,98682,24050,5,119,0.38789890145640626,16,936687.5900115004,469.55835405555973,133.94962353756478,839
8629,5197,2225,5,3.947736352534081,84176,18606,2,167,0.6384564487170294,1,107158.76315068657,491.6844565593323,155.87316714957515,998
2016,4337,1400,31,5.662116901633073,34414,18429,1,195,0.9429701894309558,10,929699.6370269115,416.61403075400693,145.17294216529456,379
8869,5583,513,20,8.076161189735553,113030,29980,3,91,0.21185890286408426,19,148948.2694014151,191.65271711576474,190.37676115222612,147
